COLORS,PRODUCTS,REGIONS,time,unit_retail,unit_cost,units_sold,units_returned,income_$,return_$
Blue,Tape Dispensers,Northern,12,7.68,7.58,5434,2796,41733.12,21473.28
Yellow,Tape Dispensers,Northern,1,6.17,4.42,3200,750,19744.0,4627.5
Yellow,Tape Dispensers,Northern,2,6.17,4.42,6007,2201,37063.19,13580.17
Yellow,Tape Dispensers,Northern,3,6.17,4.42,9010,2136,55591.7,13179.12
Yellow,Tape Dispensers,Northern,4,6.17,4.42,6286,6121,38784.62,37766.57
Yellow,Tape Dispensers,Northern,5,6.17,4.42,9304,6423,57405.68,39629.91
Yellow,Tape Dispensers,Northern,6,6.17,4.42,7760,7595,47879.2,46861.15
Yellow,Tape Dispensers,Northern,7,6.17,4.42,127,100,783.59,617.0
Yellow,Tape Dispensers,Northern,8,6.17,4.42,1804,487,11130.68,3004.79
Yellow,Tape Dispensers,Northern,9,6.17,4.42,9230,9045,56949.1,55807.65
Yellow,Tape Dispensers,Northern,10,6.17,4.42,7991,5916,49304.47,36501.72
Yellow,Tape Dispensers,Northern,11,6.17,4.42,9386,3385,57911.62,20885.45
Yellow,Tape Dispensers,Northern,12,6.17,4.42,5465,2417,33719.05,14912.89
Green,Tape Dispensers,Northern,1,7.47,3.77,9601,3749,71719.47,28005.03
Green,Tape Dispensers,Northern,2,7.47,3.77,6166,5326,46060.02,39785.22
Green,Tape Dispensers,Northern,3,7.47,3.77,904,638,6752.88,4765.86
Green,Tape Dispensers,Northern,4,7.47,3.77,3549,3306,26511.03,24695.82
Green,Tape Dispensers,Northern,5,7.47,3.77,3530,1057,26369.1,7895.79
Green,Tape Dispensers,Northern,6,7.47,3.77,3692,1165,27579.24,8702.55
Green,Tape Dispensers,Northern,7,7.47,3.77,8901,6821,66490.47,50952.87
Green,Tape Dispensers,Northern,8,7.47,3.77,8662,5133,64705.14,38343.51
Green,Tape Dispensers,Northern,9,7.47,3.77,9093,7498,67924.71,56010.06
Green,Tape Dispensers,Northern,10,7.47,3.77,3311,1728,24733.17,12908.16
Green,Tape Dispensers,Northern,11,7.47,3.77,5678,1661,42414.66,12407.67
Green,Tape Dispensers,Northern,12,7.47,3.77,563,200,4205.61,1494.0
Red,Staplers,Northern,1,9.52,3.22,9163,2741,87231.76,26094.32
Red,Staplers,Northern,2,9.52,3.22,9610,4403,91487.2,41916.56
Red,Staplers,Northern,3,9.52,3.22,4282,1036,40764.64,9862.72
Red,Staplers,Northern,4,9.52,3.22,1901,197,18097.52,1875.44
Red,Staplers,Northern,5,9.52,3.22,32,5,304.64,47.6
Red,Staplers,Northern,6,9.52,3.22,6917,2003,65849.84,19068.56
Red,Staplers,Northern,7,9.52,3.22,4274,1032,40688.48,9824.64
Red,Staplers,Northern,8,9.52,3.22,4482,270,42668.64,2570.4
Red,Staplers,Northern,9,9.52,3.22,7814,5864,74389.28,55825.28
Red,Staplers,Northern,10,9.52,3.22,7172,458,68277.44,4360.16
Red,Staplers,Northern,11,9.52,3.22,8207,5255,78130.64,50027.6
Red,Staplers,Northern,12,9.52,3.22,290,60,2760.8,571.2
Blue,Staplers,Northern,1,6.47,4.29,8816,5946,57039.52,38470.62
Blue,Staplers,Northern,2,6.47,4.29,8316,3270,53804.52,21156.9
Blue,Staplers,Northern,3,6.47,4.29,3225,2138,20865.75,13832.86
Blue,Staplers,Northern,4,6.47,4.29,6025,5473,38981.75,35410.31
Blue,Staplers,Northern,5,6.47,4.29,9835,7859,63632.45,50847.73
Blue,Staplers,Northern,6,6.47,4.29,3732,312,24146.04,2018.64
Blue,Staplers,Northern,7,6.47,4.29,7887,4247,51028.89,27478.09
Blue,Staplers,Northern,8,6.47,4.29,7895,4940,51080.65,31961.8
Blue,Staplers,Northern,9,6.47,4.29,3386,415,21907.42,2685.05
Blue,Staplers,Northern,10,6.47,4.29,1857,485,12014.79,3137.95
Blue,Staplers,Northern,11,6.47,4.29,2695,136,17436.65,879.92
Blue,Staplers,Northern,12,6.47,4.29,3351,2317,21680.97,14990.99
Yellow,Staplers,Northern,1,8.89,2.73,7302,4560,64914.78,40538.4
Yellow,Staplers,Northern,2,8.89,2.73,6043,5107,53722.27,45401.23
Yellow,Staplers,Northern,3,8.89,2.73,807,259,7174.23,2302.51
Yellow,Staplers,Northern,4,8.89,2.73,3474,2700,30883.86,24003.0
Yellow,Staplers,Northern,5,8.89,2.73,1495,1180,13290.55,10490.2
Yellow,Staplers,Northern,6,8.89,2.73,1130,598,10045.7,5316.22
Yellow,Staplers,Northern,7,8.89,2.73,777,417,6907.53,3707.13
Yellow,Staplers,Northern,8,8.89,2.73,5787,119,51446.43,1057.91
Yellow,Staplers,Northern,9,8.89,2.73,6830,5006,60718.7,44503.34
Yellow,Staplers,Northern,10,8.89,2.73,4854,3398,43152.06,30208.22
Yellow,Staplers,Northern,11,8.89,2.73,8458,7635,75191.62,67875.15
Yellow,Staplers,Northern,12,8.89,2.73,9311,8209,82774.79,72978.01
Green,Staplers,Northern,1,6.65,3.03,9764,412,64930.6,2739.8
Green,Staplers,Northern,2,6.65,3.03,4592,1420,30536.8,9443.0
Green,Staplers,Northern,3,6.65,3.03,6712,1011,44634.8,6723.15
Green,Staplers,Northern,4,6.65,3.03,6270,5790,41695.5,38503.5
Green,Staplers,Northern,5,6.65,3.03,9223,5595,61332.95,37206.75
Green,Staplers,Northern,6,6.65,3.03,1224,778,8139.6,5173.7
Green,Staplers,Northern,7,6.65,3.03,4808,278,31973.2,1848.7
Green,Staplers,Northern,8,6.65,3.03,5175,270,34413.75,1795.5
Green,Staplers,Northern,9,6.65,3.03,2724,454,18114.6,3019.1
Green,Staplers,Northern,10,6.65,3.03,8068,6994,53652.2,46510.1
Green,Staplers,Northern,11,6.65,3.03,8229,5500,54722.85,36575.0
Green,Staplers,Northern,12,6.65,3.03,598,214,3976.7,1423.1
Red,Erasers,Northern,1,9.04,5.24,3639,2747,32896.56,24832.88
Red,Erasers,Northern,2,9.04,5.24,4016,589,36304.64,5324.56
Red,Erasers,Northern,3,9.04,5.24,6996,1062,63243.84,9600.48
Red,Erasers,Northern,4,9.04,5.24,6988,1572,63171.52,14210.88
Red,Erasers,Northern,5,9.04,5.24,3485,1672,31504.4,15114.88
Red,Erasers,Northern,6,9.04,5.24,5222,2393,47206.88,21632.72
Red,Erasers,Northern,7,9.04,5.24,3377,127,30528.08,1148.08
Red,Erasers,Northern,8,9.04,5.24,4573,1653,41339.92,14943.12
Red,Erasers,Northern,9,9.04,5.24,3342,2435,30211.68,22012.4
Red,Erasers,Northern,10,9.04,5.24,8157,3535,73739.28,31956.4
Red,Erasers,Northern,11,9.04,5.24,1061,884,9591.44,7991.36
Red,Erasers,Northern,12,9.04,5.24,1801,962,16281.04,8696.48
Blue,Erasers,Northern,1,6.9,3.66,9150,2145,63135.0,14800.5
Blue,Erasers,Northern,2,6.9,3.66,6321,4170,43614.9,28773.0
Blue,Erasers,Northern,3,6.9,3.66,5826,4558,40199.4,31450.2
Blue,Erasers,Northern,4,6.9,3.66,1985,1066,13696.5,7355.4
Blue,Erasers,Northern,5,6.9,3.66,5517,3061,38067.3,21120.9
Blue,Erasers,Northern,6,6.9,3.66,185,125,1276.5,862.5
Blue,Erasers,Northern,7,6.9,3.66,1802,189,12433.8,1304.1
Blue,Erasers,Northern,8,6.9,3.66,1221,998,8424.9,6886.2
Blue,Erasers,Northern,9,6.9,3.66,5131,4996,35403.9,34472.4
Blue,Erasers,Northern,10,6.9,3.66,3969,3094,27386.1,21348.6
Blue,Erasers,Northern,11,6.9,3.66,7812,2825,53902.8,19492.5
Blue,Erasers,Northern,12,6.9,3.66,4700,693,32430.0,4781.7
Yellow,Erasers,Northern,1,5.75,1.62,193,32,1109.75,184.0
Yellow,Erasers,Northern,2,5.75,1.62,5180,3394,29785.0,19515.5
Yellow,Erasers,Northern,3,5.75,1.62,7439,2243,42774.25,12897.25
Yellow,Erasers,Northern,4,5.75,1.62,8794,6803,50565.5,39117.25
Yellow,Erasers,Northern,5,5.75,1.62,2969,2627,17071.75,15105.25
Yellow,Erasers,Northern,6,5.75,1.62,6984,6798,40158.0,39088.5
Yellow,Erasers,Northern,7,5.75,1.62,2844,1270,16353.0,7302.5
Yellow,Erasers,Northern,8,5.75,1.62,9060,3448,52095.0,19826.0
Yellow,Erasers,Northern,9,5.75,1.62,1487,1096,8550.25,6302.0
Yellow,Erasers,Northern,10,5.75,1.62,1770,1190,10177.5,6842.5
Yellow,Erasers,Northern,11,5.75,1.62,6112,2042,35144.0,11741.5
Yellow,Erasers,Northern,12,5.75,1.62,2606,1049,14984.5,6031.75
Green,Erasers,Northern,1,9.15,2.26,6218,5046,56894.7,46170.9
Green,Erasers,Northern,2,9.15,2.26,9661,6259,88398.15,57269.85
Green,Erasers,Northern,3,9.15,2.26,4820,1427,44103.0,13057.05
Green,Erasers,Northern,4,9.15,2.26,1026,255,9387.9,2333.25
Green,Erasers,Northern,5,9.15,2.26,7887,5060,72166.05,46299.0
Green,Erasers,Northern,6,9.15,2.26,3532,2607,32317.8,23854.05
Green,Erasers,Northern,7,9.15,2.26,6540,2430,59841.0,22234.5
Green,Erasers,Northern,8,9.15,2.26,5674,446,51917.1,4080.9
Green,Erasers,Northern,9,9.15,2.26,6824,4130,62439.6,37789.5
Green,Erasers,Northern,10,9.15,2.26,252,246,2305.8,2250.9
Green,Erasers,Northern,11,9.15,2.26,967,653,8848.05,5974.95
Green,Erasers,Northern,12,9.15,2.26,8618,7367,78854.7,67408.05
Red,Calendars,Northern,1,9.36,5.61,6401,510,59913.36,4773.6
Red,Calendars,Northern,2,9.36,5.61,5775,1161,54054.0,10866.96
Red,Calendars,Northern,3,9.36,5.61,6274,1204,58724.64,11269.44
Red,Calendars,Northern,4,9.36,5.61,6594,3076,61719.84,28791.36
Red,Calendars,Northern,5,9.36,5.61,9744,7842,91203.84,73401.12
Red,Calendars,Northern,6,9.36,5.61,6362,3807,59548.32,35633.52
Red,Calendars,Northern,7,9.36,5.61,9249,6937,86570.64,64930.32
Red,Calendars,Northern,8,9.36,5.61,1657,404,15509.52,3781.44
Red,Calendars,Northern,9,9.36,5.61,2089,1628,19553.04,15238.08
Red,Calendars,Northern,10,9.36,5.61,8930,5245,83584.8,49093.2
Red,Calendars,Northern,11,9.36,5.61,7417,3325,69423.12,31122.0
Red,Calendars,Northern,12,9.36,5.61,4920,4042,46051.2,37833.12
Blue,Calendars,Northern,1,9.61,3.09,3594,2600,34538.34,24986.0
Blue,Calendars,Northern,2,9.61,3.09,5692,5338,54700.12,51298.18
Blue,Calendars,Northern,3,9.61,3.09,5695,416,54728.95,3997.76
Blue,Calendars,Northern,4,9.61,3.09,1474,1111,14165.14,10676.71
Blue,Calendars,Northern,5,9.61,3.09,8101,2035,77850.61,19556.35
Blue,Calendars,Northern,6,9.61,3.09,4783,2530,45964.63,24313.3
Blue,Calendars,Northern,7,9.61,3.09,6032,642,57967.52,6169.62
Blue,Calendars,Northern,8,9.61,3.09,658,125,6323.38,1201.25
Blue,Calendars,Northern,9,9.61,3.09,4656,2694,44744.16,25889.34
Blue,Calendars,Northern,10,9.61,3.09,3289,1057,31607.29,10157.77
Blue,Calendars,Northern,11,9.61,3.09,6982,2619,67097.02,25168.59
Blue,Calendars,Northern,12,9.61,3.09,900,812,8649.0,7803.32
Yellow,Calendars,Northern,1,5.19,3.84,8246,6672,42796.74,34627.68
Yellow,Calendars,Northern,2,5.19,3.84,5163,3607,26795.97,18720.33
Yellow,Calendars,Northern,3,5.19,3.84,5712,4614,29645.28,23946.66
Yellow,Calendars,Northern,4,5.19,3.84,6160,3420,31970.4,17749.8
Yellow,Calendars,Northern,5,5.19,3.84,9291,7118,48220.29,36942.42
Yellow,Calendars,Northern,6,5.19,3.84,5120,1183,26572.8,6139.77
Yellow,Calendars,Northern,7,5.19,3.84,2722,1899,14127.18,9855.81
Yellow,Calendars,Northern,8,5.19,3.84,4204,292,21818.76,1515.48
Yellow,Calendars,Northern,9,5.19,3.84,8674,4715,45018.06,24470.85
Yellow,Calendars,Northern,10,5.19,3.84,3440,406,17853.6,2107.14
Yellow,Calendars,Northern,11,5.19,3.84,671,62,3482.49,321.78
Yellow,Calendars,Northern,12,5.19,3.84,7303,5829,37902.57,30252.51
Green,Calendars,Northern,1,5.13,1.64,1233,835,6325.29,4283.55
Green,Calendars,Northern,2,5.13,1.64,3424,2353,17565.12,12070.89
Green,Calendars,Northern,3,5.13,1.64,5870,5210,30113.1,26727.3
Green,Calendars,Northern,4,5.13,1.64,4372,350,22428.36,1795.5
Green,Calendars,Northern,5,5.13,1.64,3993,3507,20484.09,17990.91
Green,Calendars,Northern,6,5.13,1.64,1165,852,5976.45,4370.76
Green,Calendars,Northern,7,5.13,1.64,8375,1576,42963.75,8084.88
Green,Calendars,Northern,8,5.13,1.64,6294,776,32288.22,3980.88
Green,Calendars,Northern,9,5.13,1.64,282,233,1446.66,1195.29
Green,Calendars,Northern,10,5.13,1.64,3693,1445,18945.09,7412.85
Green,Calendars,Northern,11,5.13,1.64,3381,1936,17344.53,9931.68
Green,Calendars,Northern,12,5.13,1.64,8310,7965,42630.3,40860.45
Red,Binder Rings,Northern,1,9.13,1.14,6737,4867,61508.81,44435.71
Red,Binder Rings,Northern,2,9.13,1.14,1615,1085,14744.95,9906.05
Red,Binder Rings,Northern,3,9.13,1.14,9584,7135,87501.92,65142.55
Red,Binder Rings,Northern,4,9.13,1.14,6179,2380,56414.27,21729.4
Red,Binder Rings,Northern,5,9.13,1.14,1843,295,16826.59,2693.35
Red,Binder Rings,Northern,6,9.13,1.14,7979,4455,72848.27,40674.15
Red,Binder Rings,Northern,7,9.13,1.14,644,304,5879.72,2775.52
Red,Binder Rings,Northern,8,9.13,1.14,3830,3612,34967.9,32977.56
Red,Binder Rings,Northern,9,9.13,1.14,4746,2592,43330.98,23664.96
Red,Binder Rings,Northern,10,9.13,1.14,3203,2109,29243.39,19255.17
Red,Binder Rings,Northern,11,9.13,1.14,5217,1052,47631.21,9604.76
Red,Binder Rings,Northern,12,9.13,1.14,2587,2546,23619.31,23244.98
Blue,Binder Rings,Northern,1,6.46,5.42,2520,113,16279.2,729.98
Blue,Binder Rings,Northern,2,6.46,5.42,681,44,4399.26,284.24
Blue,Binder Rings,Northern,3,6.46,5.42,3724,2066,24057.04,13346.36
Blue,Binder Rings,Northern,4,6.46,5.42,5042,1070,32571.32,6912.2
Blue,Binder Rings,Northern,5,6.46,5.42,3907,816,25239.22,5271.36
Blue,Binder Rings,Northern,6,6.46,5.42,8040,3077,51938.4,19877.42
Blue,Binder Rings,Northern,7,6.46,5.42,611,145,3947.06,936.7
Blue,Binder Rings,Northern,8,6.46,5.42,3997,1982,25820.62,12803.72
Blue,Binder Rings,Northern,9,6.46,5.42,8688,5770,56124.48,37274.2
Blue,Binder Rings,Northern,10,6.46,5.42,2407,627,15549.22,4050.42
Blue,Binder Rings,Northern,11,6.46,5.42,4828,3887,31188.88,25110.02
Blue,Binder Rings,Northern,12,6.46,5.42,5298,5284,34225.08,34134.64
Yellow,Binder Rings,Northern,1,7.99,6.54,760,162,6072.4,1294.38
Yellow,Binder Rings,Northern,2,7.99,6.54,3228,1356,25791.72,10834.44
Yellow,Binder Rings,Northern,3,7.99,6.54,7960,980,63600.4,7830.2
Yellow,Binder Rings,Northern,4,7.99,6.54,2369,1232,18928.31,9843.68
Yellow,Binder Rings,Northern,5,7.99,6.54,2466,101,19703.34,806.99
Yellow,Binder Rings,Northern,6,7.99,6.54,3032,306,24225.68,2444.94
Yellow,Binder Rings,Northern,7,7.99,6.54,2419,1169,19327.81,9340.31
Yellow,Binder Rings,Northern,8,7.99,6.54,75,1,599.25,7.99
Yellow,Binder Rings,Northern,9,7.99,6.54,4172,3517,33334.28,28100.83
Yellow,Binder Rings,Northern,10,7.99,6.54,9888,1225,79005.12,9787.75
Yellow,Binder Rings,Northern,11,7.99,6.54,9787,6637,78198.13,53029.63
Yellow,Binder Rings,Northern,12,7.99,6.54,3813,1079,30465.87,8621.21
Green,Binder Rings,Northern,1,7.84,5.14,8175,1087,64092.0,8522.08
Green,Binder Rings,Northern,2,7.84,5.14,5731,1523,44931.04,11940.32
Green,Binder Rings,Northern,3,7.84,5.14,1880,1106,14739.2,8671.04
Green,Binder Rings,Northern,4,7.84,5.14,4823,1287,37812.32,10090.08
Green,Binder Rings,Northern,5,7.84,5.14,8418,20,65997.12,156.8
Green,Binder Rings,Northern,6,7.84,5.14,3532,191,27690.88,1497.44
Green,Binder Rings,Northern,7,7.84,5.14,1745,1713,13680.8,13429.92
Green,Binder Rings,Northern,8,7.84,5.14,5031,2744,39443.04,21512.96
Green,Binder Rings,Northern,9,7.84,5.14,1444,1105,11320.96,8663.2
Green,Binder Rings,Northern,10,7.84,5.14,4690,4685,36769.6,36730.4
Green,Binder Rings,Northern,11,7.84,5.14,4294,3327,33664.96,26083.68
Green,Binder Rings,Northern,12,7.84,5.14,9859,8400,77294.56,65856.0
Red,Pens,Northern,1,5.24,4.62,1168,912,6120.32,4778.88
Red,Pens,Northern,2,5.24,4.62,420,176,2200.8,922.24
Red,Pens,Northern,3,5.24,4.62,9050,7004,47422.0,36700.96
Red,Pens,Northern,4,5.24,4.62,3049,2686,15976.76,14074.64
Red,Pens,Northern,5,5.24,4.62,6461,97,33855.64,508.28
Red,Pens,Northern,6,5.24,4.62,2536,788,13288.64,4129.12
Red,Pens,Northern,7,5.24,4.62,1491,799,7812.84,4186.76
Red,Pens,Northern,8,5.24,4.62,4672,1975,24481.28,10349.0
Red,Pens,Northern,9,5.24,4.62,2649,573,13880.76,3002.52
Red,Pens,Northern,10,5.24,4.62,5171,3200,27096.04,16768.0
Red,Pens,Northern,11,5.24,4.62,4141,1173,21698.84,6146.52
Red,Pens,Northern,12,5.24,4.62,3768,1701,19744.32,8913.24
Blue,Pens,Northern,1,9.89,1.34,4562,2369,45118.18,23429.41
Blue,Pens,Northern,2,9.89,1.34,242,185,2393.38,1829.65
Blue,Pens,Northern,3,9.89,1.34,9072,5139,89722.08,50824.71
Blue,Pens,Northern,4,9.89,1.34,7608,2006,75243.12,19839.34
Blue,Pens,Northern,5,9.89,1.34,6162,2314,60942.18,22885.46
Blue,Pens,Northern,6,9.89,1.34,4452,1257,44030.28,12431.73
Blue,Pens,Northern,7,9.89,1.34,8167,6194,80771.63,61258.66
Blue,Pens,Northern,8,9.89,1.34,6841,3215,67657.49,31796.35
Blue,Pens,Northern,9,9.89,1.34,7675,6723,75905.75,66490.47
Blue,Pens,Northern,10,9.89,1.34,8597,4413,85024.33,43644.57
Blue,Pens,Northern,11,9.89,1.34,9080,1934,89801.2,19127.26
Blue,Pens,Northern,12,9.89,1.34,1320,147,13054.8,1453.83
Yellow,Pens,Northern,1,8.19,3.79,9066,5228,74250.54,42817.32
Yellow,Pens,Northern,2,8.19,3.79,4194,413,34348.86,3382.47
Yellow,Pens,Northern,3,8.19,3.79,2769,657,22678.11,5380.83
Yellow,Pens,Northern,4,8.19,3.79,934,483,7649.46,3955.77
Yellow,Pens,Northern,5,8.19,3.79,6399,2972,52407.81,24340.68
Yellow,Pens,Northern,6,8.19,3.79,8093,4441,66281.67,36371.79
Yellow,Pens,Northern,7,8.19,3.79,4222,3600,34578.18,29484.0
Yellow,Pens,Northern,8,8.19,3.79,4212,1833,34496.28,15012.27
Yellow,Pens,Northern,9,8.19,3.79,3804,560,31154.76,4586.4
Yellow,Pens,Northern,10,8.19,3.79,9701,433,79451.19,3546.27
Yellow,Pens,Northern,11,8.19,3.79,4559,1690,37338.21,13841.1
Yellow,Pens,Northern,12,8.19,3.79,6119,1453,50114.61,11900.07
Green,Pens,Northern,1,7.42,4.51,9829,6975,72931.18,51754.5
Green,Pens,Northern,2,7.42,4.51,5646,718,41893.32,5327.56
Green,Pens,Northern,3,7.42,4.51,5245,950,38917.9,7049.0
Green,Pens,Northern,4,7.42,4.51,6127,6016,45462.34,44638.72
Green,Pens,Northern,5,7.42,4.51,4779,854,35460.18,6336.68
Green,Pens,Northern,6,7.42,4.51,1498,1056,11115.16,7835.52
Green,Pens,Northern,7,7.42,4.51,2304,1750,17095.68,12985.0
Green,Pens,Northern,8,7.42,4.51,8590,2290,63737.8,16991.8
Green,Pens,Northern,9,7.42,4.51,3764,1484,27928.88,11011.28
Green,Pens,Northern,10,7.42,4.51,9929,9773,73673.18,72515.66
Green,Pens,Northern,11,7.42,4.51,7872,7765,58410.24,57616.3
Green,Pens,Northern,12,7.42,4.51,4107,2338,30473.94,17347.96
Red,Pencils,Northern,1,6.42,2.25,5761,4763,36985.62,30578.46
Red,Pencils,Northern,2,6.42,2.25,7310,4420,46930.2,28376.4
Red,Pencils,Northern,3,6.42,2.25,4342,1649,27875.64,10586.58
Red,Pencils,Northern,4,6.42,2.25,4424,1950,28402.08,12519.0
Red,Pencils,Northern,5,6.42,2.25,8685,2853,55757.7,18316.26
Red,Pencils,Northern,6,6.42,2.25,2250,1603,14445.0,10291.26
Red,Pencils,Northern,7,6.42,2.25,8253,1615,52984.26,10368.3
Red,Pencils,Northern,8,6.42,2.25,5458,3602,35040.36,23124.84
Red,Pencils,Northern,9,6.42,2.25,717,611,4603.14,3922.62
Red,Pencils,Northern,10,6.42,2.25,1619,1262,10393.98,8102.04
Red,Pencils,Northern,11,6.42,2.25,6555,5242,42083.1,33653.64
Red,Pencils,Northern,12,6.42,2.25,2574,806,16525.08,5174.52
Blue,Pencils,Northern,1,8.12,3.52,7677,1194,62337.24,9695.28
Blue,Pencils,Northern,2,8.12,3.52,6911,4883,56117.32,39649.96
Blue,Pencils,Northern,3,8.12,3.52,7086,2791,57538.32,22662.92
Blue,Pencils,Northern,4,8.12,3.52,3151,1962,25586.12,15931.44
Blue,Pencils,Northern,5,8.12,3.52,9098,5270,73875.76,42792.4
Blue,Pencils,Northern,6,8.12,3.52,679,606,5513.48,4920.72
Blue,Pencils,Northern,7,8.12,3.52,1765,448,14331.8,3637.76
Blue,Pencils,Northern,8,8.12,3.52,1333,141,10823.96,1144.92
Blue,Pencils,Northern,9,8.12,3.52,2987,2017,24254.44,16378.04
Blue,Pencils,Northern,10,8.12,3.52,5436,3452,44140.32,28030.24
Blue,Pencils,Northern,11,8.12,3.52,5561,309,45155.32,2509.08
Blue,Pencils,Northern,12,8.12,3.52,2016,1411,16369.92,11457.32
Yellow,Pencils,Northern,1,5.49,3.04,8007,2185,43958.43,11995.65
Yellow,Pencils,Northern,2,5.49,3.04,656,648,3601.44,3557.52
Yellow,Pencils,Northern,3,5.49,3.04,9912,3290,54416.88,18062.1
Yellow,Pencils,Northern,4,5.49,3.04,8110,2853,44523.9,15662.97
Yellow,Pencils,Northern,5,5.49,3.04,1018,769,5588.82,4221.81
Yellow,Pencils,Northern,6,5.49,3.04,7519,5453,41279.31,29936.97
Yellow,Pencils,Northern,7,5.49,3.04,3493,2690,19176.57,14768.1
Yellow,Pencils,Northern,8,5.49,3.04,3207,1466,17606.43,8048.34
Yellow,Pencils,Northern,9,5.49,3.04,5466,4168,30008.34,22882.32
Yellow,Pencils,Northern,10,5.49,3.04,964,612,5292.36,3359.88
Yellow,Pencils,Northern,11,5.49,3.04,4373,2203,24007.77,12094.47
Yellow,Pencils,Northern,12,5.49,3.04,2179,1505,11962.71,8262.45
Green,Pencils,Northern,1,5.74,5.17,2758,2208,15830.92,12673.92
Green,Pencils,Northern,2,5.74,5.17,5416,4146,31087.84,23798.04
Green,Pencils,Northern,3,5.74,5.17,8035,7055,46120.9,40495.7
Green,Pencils,Northern,4,5.74,5.17,211,49,1211.14,281.26
Green,Pencils,Northern,5,5.74,5.17,4190,2453,24050.6,14080.22
Green,Pencils,Northern,6,5.74,5.17,9630,8376,55276.2,48078.24
Green,Pencils,Northern,7,5.74,5.17,8266,4456,47446.84,25577.44
Green,Pencils,Northern,8,5.74,5.17,7594,1057,43589.56,6067.18
Green,Pencils,Northern,9,5.74,5.17,4636,1,26610.64,5.74
Green,Pencils,Northern,10,5.74,5.17,9732,3962,55861.68,22741.88
Green,Pencils,Northern,11,5.74,5.17,7356,4516,42223.44,25921.84
Green,Pencils,Northern,12,5.74,5.17,4721,4498,27098.54,25818.52
Red,Notebooks,Northern,1,9.42,2.7,1961,1134,18472.62,10682.28
Red,Notebooks,Northern,2,9.42,2.7,6325,4522,59581.5,42597.24
Red,Notebooks,Northern,3,9.42,2.7,2009,1248,18924.78,11756.16
Red,Notebooks,Northern,4,9.42,2.7,6416,807,60438.72,7601.94
Red,Notebooks,Northern,5,9.42,2.7,9727,4429,91628.34,41721.18
Red,Notebooks,Northern,6,9.42,2.7,1561,1377,14704.62,12971.34
Red,Notebooks,Northern,7,9.42,2.7,6263,5503,58997.46,51838.26
Red,Notebooks,Northern,8,9.42,2.7,7467,3983,70339.14,37519.86
Red,Notebooks,Northern,9,9.42,2.7,9423,1107,88764.66,10427.94
Red,Notebooks,Northern,10,9.42,2.7,9237,6471,87012.54,60956.82
Red,Notebooks,Northern,11,9.42,2.7,919,878,8656.98,8270.76
Red,Notebooks,Northern,12,9.42,2.7,6868,5575,64696.56,52516.5
Blue,Notebooks,Northern,1,5.9,4.76,640,278,3776.0,1640.2
Blue,Notebooks,Northern,2,5.9,4.76,1749,210,10319.1,1239.0
Blue,Notebooks,Northern,3,5.9,4.76,9367,6862,55265.3,40485.8
Blue,Notebooks,Northern,4,5.9,4.76,5223,5162,30815.7,30455.8
Blue,Notebooks,Northern,5,5.9,4.76,8897,2009,52492.3,11853.1
Blue,Notebooks,Northern,6,5.9,4.76,4497,4257,26532.3,25116.3
Blue,Notebooks,Northern,7,5.9,4.76,8483,6886,50049.7,40627.4
Blue,Notebooks,Northern,8,5.9,4.76,4236,3390,24992.4,20001.0
